MUNICIPIO,INSTITUCION EDUCATIVA,AÑO 2014,AÑO 2015,AÑO 2016,AÑO 2017,AÑO 2018,AÑO 2019,AÑO 2020
Apía,Centro Educativo Bachillerato en Bienestar Rural - Apía,D,D,D,D,D,D,D
Apía,Colegio Sagrada Familia,B,B,B,B,B,C,C
Apía,Instituto Técnico Industrial Integrado Santo Tomas De Aquino,C,C,C,C,C,C,D
Balboa,Colegio Oficial Mixto Santo Domingo Savio,C,C,C,B,C,C,C
Balboa,Tambores,C,C,C,C,C,C,D
Balboa,Centro Educativo Bachillerato en Bienestar Rural - Balboa,NR,NR,NR,NR,NR,NR,NR
Belén de umbría,Colegio Oficial Juan Hurtado,B,B,B,B,B,C,C
Belén de umbría,Colegio Oficial Nuestra Señora Del Rosario,C,C,C,NR,NR,NR,NR
Belén de umbría,Colegio Técnico Agropecuario Taparcal,C,C,C,C,C,C,D
Belén de umbría,Centro Educativo Bachillerato en Bienestar Rural,NR,NR,NR,NR,NR,NR,NR
Guática,Colegio Oficial Instituto Guática,C,C,C,C,C,C,C
Guática,IE María Reina,C,B,B,B,C,C,C
Guática,Instituto Agrícola Santa Ana,D,D,C,C,C,C,D
Guática,Instituto San Clemente,C,C,C,C,C,C,C
Guática,Centro Educativo Bachillerato en Bienestar Rural - Guatica,NR,NR,NR,NR,NR,NR,NR
La Celia,Colegio Patio Bonito,C,B,B,B,B,B,C
La Celia,Liceo De Occidente,C,C,C,C,B,B,C
La Celia,Centro Educativo Bachillerato en Bienestar Rural - La Celia,NR,NR,NR,NR,NR,NR,D
la Virginia,Colegio Bernardo Arias Trujillo,B,B,B,B,C,C,D
la Virginia,Colegio La Presentación,B,B,B,A,A,A,B
la Virginia,Instituto Educativa Pedro Pablo Bello,C,C,C,C,B,C,C
la Virginia,Liceo Gabriela Mistral,B,B,B,B,B,C,C
la Virginia,Alfonso López Pumarejo,C,C,D,D,NR,NR,NR
Marsella,Instituto Agrícola Alto Cauca,C,D,D,D,D,D,D
Marsella,Instituto Estrada,B,B,B,B,B,B,B
Marsella,Agricola Marsella,C,C,C,C,C,D,D
Marsella,Centro Educativo Bachillerato en Bienestar Rural - Marsella,NR,NR,NR,NR,NR,NR,NR
Mistrató,Instituto Mistrató,C,C,C,C,C,C,C
Mistrató,La Inmaculada,D,D,D,D,D,D,D
Mistrató,Purembara,,,NR,NR,NR,NR,D
Mistrató,Centro Educativo Bachillerato en Bienestar Rural - Mistrató,NR,NR,NR,NR,NR,NR,NR
Pueblo Rico,Institución Agroambiental Pio XII,D,D,D,D,D,D,D
Pueblo Rico,Instituto De Promoción Social Dokabu,D,D,D,NR,D,NR,NR
Pueblo Rico,Instituto San Pablo,C,C,B,NR,NR,NR,C
Pueblo Rico,Etnoeducativo Embera Chami,,,,,,,
Pueblo Rico,Centro Educativo Bachillerato en Bienestar Rural - Pueblo Rico,NR,NR,NR,NR,NR,D,D
Quinchía,Colegio Agropecuario Núcleo Escolar Rural,C,C,C,C,C,C,D
Quinchía,Instituto Integrado Miracampos,C,C,C,C,C,C,C
Quinchía,Instituto Nuestra Señora De Los Dolores,B,B,B,B,B,B,B
Quinchía,Instituto San Andrés,B,B,B,B,B,B,B
Quinchía,Instituto Técnico Agropecuario Naranjal,C,C,C,C,C,C,D
Quinchía,Instituto Integrado Irra,C,C,C,C,D,D,D
Quinchía,Susagúa,C,C,C,C,C,D,D
Quinchía,Santa Elena,C,C,C,C,C,D,D
Quinchía,Centro Educativo Bachillerato en Bienestar Rural - Quinchía,NR,NR,NR,NR,NR,NR,NR
Santa Rosa,Colegio Francisco José De Caldas,A,A,A,A,A,A,B
Santa Rosa,Colegio Laboure,B,B,A,A,A,A,B
Santa Rosa,Colegio Oficial Lorencita Villegas De Santos,B,B,B,B,B,NR,C
Santa Rosa,IE Instituto Agrícola Veracruz,A,A,A,A,A,A,B
Santa Rosa,Instituto Agrícola Pedro Uribe Mejía,B,B,B,B,B,B,A
Santa Rosa,Instituto Oficial Agrícola La Florida,C,C,C,C,C,C,D
Santa Rosa,Instituto Técnico Industrial Marillac,B,B,B,A,B,B,B
Santa Rosa,Instituto Tecnológico Santa Rosa De Cabal,B,B,B,B,B,B,B
Santa Rosa,María Goretti,A,A,A,A,A+,A+,A+
Santa Rosa,Centro Educativo Bachillerato en Bienestar Rural - Santa Rosa,NR,NR,NR,NR,NR,NR,NR
Santuario,IE María Auxiliadora,A,A,A,A,A,B,B
Santuario,Instituto santuario,B,B,A,B,B,B,C
Santuario,LA Marina,NA,NA,NA,A,B,B,B
Santuario,Centro Educativo Bachillerato en Bienestar Rural - Santuario,NR,NR,NR,Nr,NR,NR,NR
